county,cars_per_1000,vkm_per_capita,stops_per_100k
Carlow,545.22,12415.0,0.0
Cavan,432.28,10692.4,0.0
Clare,488.86,10462.0,0.0
Cork,491.79,9577.6,35.03
Donegal,418.95,9572.4,9.39
Dublin,396.89,6976.8,31.86
Galway,469.93,10238.7,102.57
Kerry,502.43,10629.1,0.0
Kildare,478.97,9681.1,0.0
Kilkenny,478.28,10924.8,150.48
Laois,430.32,9853.0,0.0
Leitrim,463.21,11199.8,0.0
Limerick,457.38,9425.5,163.4
Longford,410.29,10070.9,0.0
Louth,401.07,7920.5,0.0
Mayo,483.4,11110.4,0.0
Meath,462.17,9850.6,0.0
Monaghan,444.85,11794.7,0.0
Offaly,460.0,10641.1,0.0
Roscommon,518.77,12640.8,0.0
Sligo,450.11,9872.1,0.0
Tipperary,510.56,11546.6,0.0
Waterford,480.56,9183.4,428.56
Westmeath,470.27,10620.3,0.0
Wexford,505.71,11353.6,0.0
Wicklow,475.15,8888.5,0.0
