Year,MonthNum,Date,fuel_group,new_private_cars
2015,1,2015-01-01,Battery Electric (BEV),68.0
2015,1,2015-01-01,Diesel,14529.0
2015,1,2015-01-01,Hybrid (HEV),295.0
2015,1,2015-01-01,Other,0.0
2015,1,2015-01-01,Petrol,5194.0
2015,1,2015-01-01,Plug-in Hybrid (PHEV),19.0
2015,2,2015-02-01,Battery Electric (BEV),72.0
2015,2,2015-02-01,Diesel,10902.0
2015,2,2015-02-01,Hybrid (HEV),179.0
2015,2,2015-02-01,Other,1.0
2015,2,2015-02-01,Petrol,4223.0
2015,2,2015-02-01,Plug-in Hybrid (PHEV),7.0
2015,3,2015-03-01,Plug-in Hybrid (PHEV),10.0
2015,3,2015-03-01,Petrol,5029.0
2015,3,2015-03-01,Other,1.0
2015,3,2015-03-01,Diesel,11804.0
2015,3,2015-03-01,Battery Electric (BEV),56.0
2015,3,2015-03-01,Hybrid (HEV),154.0
2015,4,2015-04-01,Battery Electric (BEV),72.0
2015,4,2015-04-01,Diesel,9302.0
2015,4,2015-04-01,Hybrid (HEV),111.0
2015,4,2015-04-01,Other,1.0
2015,4,2015-04-01,Petrol,3669.0
2015,4,2015-04-01,Plug-in Hybrid (PHEV),11.0
2015,5,2015-05-01,Petrol,2435.0
2015,5,2015-05-01,Plug-in Hybrid (PHEV),10.0
2015,5,2015-05-01,Other,0.0
2015,5,2015-05-01,Diesel,6466.0
2015,5,2015-05-01,Battery Electric (BEV),36.0
2015,5,2015-05-01,Hybrid (HEV),80.0
2015,6,2015-06-01,Battery Electric (BEV),13.0
2015,6,2015-06-01,Diesel,2867.0
2015,6,2015-06-01,Hybrid (HEV),38.0
2015,6,2015-06-01,Other,0.0
2015,6,2015-06-01,Petrol,1003.0
2015,6,2015-06-01,Plug-in Hybrid (PHEV),3.0
2015,7,2015-07-01,Other,3.0
2015,7,2015-07-01,Plug-in Hybrid (PHEV),20.0
2015,7,2015-07-01,Petrol,5951.0
2015,7,2015-07-01,Diesel,14967.0
2015,7,2015-07-01,Battery Electric (BEV),61.0
2015,7,2015-07-01,Hybrid (HEV),288.0
2015,8,2015-08-01,Petrol,2312.0
2015,8,2015-08-01,Battery Electric (BEV),49.0
2015,8,2015-08-01,Diesel,6079.0
2015,8,2015-08-01,Hybrid (HEV),121.0
2015,8,2015-08-01,Other,0.0
2015,8,2015-08-01,Plug-in Hybrid (PHEV),11.0
2015,9,2015-09-01,Petrol,1549.0
2015,9,2015-09-01,Plug-in Hybrid (PHEV),4.0
2015,9,2015-09-01,Other,0.0
2015,9,2015-09-01,Diesel,4241.0
2015,9,2015-09-01,Hybrid (HEV),104.0
2015,9,2015-09-01,Battery Electric (BEV),26.0
2015,10,2015-10-01,Battery Electric (BEV),11.0
2015,10,2015-10-01,Diesel,2923.0
2015,10,2015-10-01,Hybrid (HEV),49.0
2015,10,2015-10-01,Other,0.0
2015,10,2015-10-01,Petrol,950.0
2015,10,2015-10-01,Plug-in Hybrid (PHEV),10.0
2015,11,2015-11-01,Plug-in Hybrid (PHEV),15.0
2015,11,2015-11-01,Petrol,438.0
2015,11,2015-11-01,Other,0.0
2015,11,2015-11-01,Diesel,1399.0
2015,11,2015-11-01,Battery Electric (BEV),9.0
2015,11,2015-11-01,Hybrid (HEV),13.0
2015,12,2015-12-01,Battery Electric (BEV),3.0
2015,12,2015-12-01,Diesel,624.0
2015,12,2015-12-01,Hybrid (HEV),8.0
2015,12,2015-12-01,Other,0.0
2015,12,2015-12-01,Petrol,210.0
2015,12,2015-12-01,Plug-in Hybrid (PHEV),2.0
2016,1,2016-01-01,Petrol,7700.0
2016,1,2016-01-01,Plug-in Hybrid (PHEV),37.0
2016,1,2016-01-01,Other,0.0
2016,1,2016-01-01,Diesel,18876.0
2016,1,2016-01-01,Battery Electric (BEV),32.0
2016,1,2016-01-01,Hybrid (HEV),461.0
2016,2,2016-02-01,Battery Electric (BEV),92.0
2016,2,2016-02-01,Diesel,14874.0
2016,2,2016-02-01,Hybrid (HEV),321.0
2016,2,2016-02-01,Other,0.0
2016,2,2016-02-01,Petrol,5862.0
2016,2,2016-02-01,Plug-in Hybrid (PHEV),24.0
2016,3,2016-03-01,Diesel,13915.0
2016,3,2016-03-01,Battery Electric (BEV),81.0
2016,3,2016-03-01,Hybrid (HEV),322.0
2016,3,2016-03-01,Other,0.0
2016,3,2016-03-01,Petrol,5753.0
2016,3,2016-03-01,Plug-in Hybrid (PHEV),25.0
2016,4,2016-04-01,Other,0.0
2016,4,2016-04-01,Hybrid (HEV),272.0
2016,4,2016-04-01,Petrol,3809.0
2016,4,2016-04-01,Battery Electric (BEV),51.0
2016,4,2016-04-01,Diesel,10684.0
2016,4,2016-04-01,Plug-in Hybrid (PHEV),31.0
2016,5,2016-05-01,Petrol,2649.0
2016,5,2016-05-01,Plug-in Hybrid (PHEV),21.0
2016,5,2016-05-01,Other,0.0
2016,5,2016-05-01,Battery Electric (BEV),23.0
2016,5,2016-05-01,Diesel,7315.0
2016,5,2016-05-01,Hybrid (HEV),117.0
2016,6,2016-06-01,Battery Electric (BEV),8.0
2016,6,2016-06-01,Diesel,2899.0
2016,6,2016-06-01,Hybrid (HEV),60.0
2016,6,2016-06-01,Other,0.0
2016,6,2016-06-01,Petrol,1169.0
2016,6,2016-06-01,Plug-in Hybrid (PHEV),7.0
2016,7,2016-07-01,Plug-in Hybrid (PHEV),49.0
2016,7,2016-07-01,Petrol,6456.0
2016,7,2016-07-01,Other,0.0
2016,7,2016-07-01,Diesel,15433.0
2016,7,2016-07-01,Battery Electric (BEV),38.0
2016,7,2016-07-01,Hybrid (HEV),486.0
2016,8,2016-08-01,Battery Electric (BEV),32.0
2016,8,2016-08-01,Diesel,6800.0
2016,8,2016-08-01,Hybrid (HEV),193.0
2016,8,2016-08-01,Other,0.0
2016,8,2016-08-01,Petrol,2723.0
2016,8,2016-08-01,Plug-in Hybrid (PHEV),33.0
2016,9,2016-09-01,Plug-in Hybrid (PHEV),36.0
2016,9,2016-09-01,Hybrid (HEV),97.0
2016,9,2016-09-01,Petrol,1618.0
2016,9,2016-09-01,Other,0.0
2016,9,2016-09-01,Battery Electric (BEV),11.0
2016,9,2016-09-01,Diesel,4080.0
2016,10,2016-10-01,Battery Electric (BEV),13.0
2016,10,2016-10-01,Diesel,2712.0
2016,10,2016-10-01,Hybrid (HEV),53.0
2016,10,2016-10-01,Other,0.0
2016,10,2016-10-01,Petrol,1038.0
2016,10,2016-10-01,Plug-in Hybrid (PHEV),15.0
2016,11,2016-11-01,Plug-in Hybrid (PHEV),5.0
2016,11,2016-11-01,Petrol,486.0
2016,11,2016-11-01,Other,0.0
2016,11,2016-11-01,Hybrid (HEV),72.0
2016,11,2016-11-01,Battery Electric (BEV),11.0
2016,11,2016-11-01,Diesel,1272.0
2016,12,2016-12-01,Battery Electric (BEV),0.0
2016,12,2016-12-01,Diesel,446.0
2016,12,2016-12-01,Hybrid (HEV),24.0
2016,12,2016-12-01,Other,0.0
2016,12,2016-12-01,Petrol,209.0
2016,12,2016-12-01,Plug-in Hybrid (PHEV),0.0
2017,1,2017-01-01,Plug-in Hybrid (PHEV),25.0
2017,1,2017-01-01,Petrol,8182.0
2017,1,2017-01-01,Other,0.0
2017,1,2017-01-01,Hybrid (HEV),998.0
2017,1,2017-01-01,Battery Electric (BEV),107.0
2017,1,2017-01-01,Diesel,17356.0
2017,2,2017-02-01,Battery Electric (BEV),89.0
2017,2,2017-02-01,Diesel,10962.0
2017,2,2017-02-01,Hybrid (HEV),610.0
2017,2,2017-02-01,Other,0.0
