county,risk_tier,cars_per_1000,vkm_per_capita,stops_per_100k
Carlow,Critical,545.22,12415.0,0.0
Cavan,Medium,432.28,10692.4,0.0
Clare,Medium,488.86,10462.0,0.0
Cork,Medium,491.79,9577.6,35.03
Donegal,Medium,418.95,9572.4,9.39
Dublin,Low,396.89,6976.8,31.86
Galway,Medium,469.93,10238.7,102.57
Kerry,Critical,502.43,10629.1,0.0
Kildare,Medium,478.97,9681.1,0.0
Kilkenny,Medium,478.28,10924.8,150.48
Laois,Medium,430.32,9853.0,0.0
Leitrim,Medium,463.21,11199.8,0.0
Limerick,Medium,457.38,9425.5,163.4
Longford,Medium,410.29,10070.9,0.0
Louth,Low,401.07,7920.5,0.0
Mayo,Critical,483.4,11110.4,0.0
Meath,Medium,462.17,9850.6,0.0
Monaghan,Medium,444.85,11794.7,0.0
Offaly,Medium,460.0,10641.1,0.0
Roscommon,Critical,518.77,12640.8,0.0
Sligo,Medium,450.11,9872.1,0.0
Tipperary,Critical,510.56,11546.6,0.0
Waterford,High,480.56,9183.4,428.56
Westmeath,Medium,470.27,10620.3,0.0
Wexford,Critical,505.71,11353.6,0.0
Wicklow,Medium,475.15,8888.5,0.0
