Year,income_tier,other_fuel_share_forecast_pct,saturation_ceiling_L,growth_rate_k,inflection_year_t0,n_training_points,is_forecast,model
2018,High,2.35,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2019,High,3.355,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2020,High,4.721,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2021,High,6.517,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2022,High,8.78,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2023,High,11.477,32.27,0.39,2024.52,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2024,High,14.493,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2025,High,17.628,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2026,High,20.654,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2027,High,23.37,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2028,High,25.654,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2029,High,27.471,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2030,High,28.856,32.27,0.39,2024.52,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2018,Medium,1.236,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2019,Medium,1.789,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2020,Medium,2.566,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2021,Medium,3.634,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2022,Medium,5.059,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2023,Medium,6.887,28.25,0.3906,2025.9,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2024,Medium,9.116,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2025,Medium,11.672,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2026,Medium,14.405,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2027,Medium,17.117,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2028,Medium,19.616,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2029,Medium,21.766,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2030,Medium,23.51,28.25,0.3906,2025.9,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2018,Low,1.114,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2019,Low,1.594,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2020,Low,2.262,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2021,Low,3.172,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2022,Low,4.377,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2023,Low,5.917,25.07,0.3788,2026.1,6,False,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2024,Low,7.795,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2025,Low,9.959,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2026,Low,12.296,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2027,Low,14.65,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2028,Low,16.86,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2029,Low,18.802,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
2030,Low,20.412,25.07,0.3788,2026.1,6,True,"Logistic S-curve (income-tier segmented, fleet-stock basis)"
