Date,bau_ev_phev_share_pct,required_ev_phev_share_pct,bau_registrations_monthly,required_registrations_monthly,additional_registrations_needed_monthly,additional_registrations_needed_daily,assumed_monthly_total_registrations
2026-05-01,31.33,41.22,3167,4167,1000,32.9,10108
2026-06-01,31.35,41.38,3169,4183,1015,33.3,10108
2026-07-01,31.37,41.54,3170,4199,1029,33.8,10108
2026-08-01,31.38,41.7,3172,4215,1043,34.3,10108
2026-09-01,31.4,41.86,3174,4232,1058,34.7,10108
2026-10-01,31.41,42.02,3175,4248,1072,35.2,10108
2026-11-01,31.43,42.18,3177,4264,1087,35.7,10108
2026-12-01,31.44,42.34,3178,4280,1102,36.2,10108
2027-01-01,31.45,42.5,3179,4296,1117,36.7,10108
2027-02-01,31.46,42.66,3180,4312,1132,37.2,10108
2027-03-01,31.47,42.82,3181,4328,1147,37.7,10108
2027-04-01,31.48,42.98,3182,4344,1162,38.2,10108
2027-05-01,31.49,43.14,3183,4361,1177,38.7,10108
2027-06-01,31.5,43.3,3184,4377,1193,39.2,10108
2027-07-01,31.51,43.46,3185,4393,1208,39.7,10108
2027-08-01,31.51,43.62,3185,4409,1224,40.2,10108
2027-09-01,31.52,43.78,3186,4425,1239,40.7,10108
2027-10-01,31.53,43.94,3187,4441,1255,41.2,10108
2027-11-01,31.53,44.1,3187,4457,1270,41.7,10108
2027-12-01,31.54,44.26,3188,4473,1286,42.2,10108
2028-01-01,31.54,44.42,3188,4490,1301,42.8,10108
2028-02-01,31.55,44.57,3189,4506,1317,43.3,10108
2028-03-01,31.55,44.73,3189,4522,1333,43.8,10108
2028-04-01,31.55,44.89,3189,4538,1349,44.3,10108
2028-05-01,31.56,45.05,3190,4554,1364,44.8,10108
2028-06-01,31.56,45.21,3190,4570,1380,45.3,10108
2028-07-01,31.56,45.37,3190,4586,1396,45.9,10108
2028-08-01,31.57,45.53,3191,4602,1412,46.4,10108
2028-09-01,31.57,45.69,3191,4619,1428,46.9,10108
2028-10-01,31.57,45.85,3191,4635,1443,47.4,10108
2028-11-01,31.57,46.01,3191,4651,1459,47.9,10108
2028-12-01,31.58,46.17,3192,4667,1475,48.5,10108
2029-01-01,31.58,46.33,3192,4683,1491,49.0,10108
2029-02-01,31.58,46.49,3192,4699,1507,49.5,10108
2029-03-01,31.58,46.65,3192,4715,1523,50.0,10108
2029-04-01,31.58,46.81,3192,4732,1539,50.6,10108
2029-05-01,31.58,46.97,3193,4748,1555,51.1,10108
2029-06-01,31.59,47.13,3193,4764,1571,51.6,10108
2029-07-01,31.59,47.29,3193,4780,1587,52.1,10108
2029-08-01,31.59,47.45,3193,4796,1603,52.7,10108
2029-09-01,31.59,47.61,3193,4812,1619,53.2,10108
2029-10-01,31.59,47.77,3193,4828,1635,53.7,10108
2029-11-01,31.59,47.93,3193,4844,1651,54.2,10108
2029-12-01,31.59,48.09,3193,4861,1667,54.8,10108
2030-01-01,31.59,48.24,3193,4877,1683,55.3,10108
2030-02-01,31.59,48.4,3193,4893,1699,55.8,10108
2030-03-01,31.59,48.56,3194,4909,1715,56.4,10108
2030-04-01,31.59,48.72,3194,4925,1731,56.9,10108
2030-05-01,31.59,48.88,3194,4941,1748,57.4,10108
2030-06-01,31.6,49.04,3194,4957,1764,57.9,10108
2030-07-01,31.6,49.2,3194,4973,1780,58.5,10108
2030-08-01,31.6,49.36,3194,4990,1796,59.0,10108
2030-09-01,31.6,49.52,3194,5006,1812,59.5,10108
2030-10-01,31.6,49.68,3194,5022,1828,60.1,10108
2030-11-01,31.6,49.84,3194,5038,1844,60.6,10108
2030-12-01,31.6,50.0,3194,5054,1860,61.1,10108
