Date,pt_journeys_forecast,ci_lower,ci_upper,model,MAPE_pct
2023-01-01,17415132.61670442,10475246.274198085,28952717.303118464,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-02-01,14548350.905378953,8722341.255548697,24265791.473292496,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-03-01,16125284.691825124,9317446.687512934,27907302.838758387,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-04-01,16091817.246953374,9241091.348696632,28021212.27227864,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-05-01,21424477.919571985,12107300.003070196,37911694.102717474,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-06-01,17304874.76638221,9675289.774652574,30950875.648675326,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-07-01,17796714.95304662,9825907.84053096,32233465.67668179,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-08-01,22729007.427066397,12407201.85365238,41637734.65711469,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-09-01,20994216.0626104,11328303.59538618,38907600.27503864,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-10-01,26998134.47088176,14406004.65361803,50596906.111976914,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-11-01,22272231.02796244,11753509.213916745,42204610.2091435,"SARIMA(1,1,1)(0,1,1,12)",13.4
2023-12-01,19656574.88716655,10261320.934438232,37654112.83434723,"SARIMA(1,1,1)(0,1,1,12)",13.4
