Year,Battery Electric (BEV),Diesel,Hybrid (HEV),Other,Petrol,Plug-in Hybrid (PHEV),total,ev_phev_share,electrified_share,months_reported,year_complete
2015,476.0,86103.0,1440.0,6.0,32963.0,122.0,121110.0,0.004937659978531913,0.016827677318140534,12,True
2016,392.0,99306.0,2478.0,0.0,39472.0,283.0,141931.0,0.004755832059240054,0.022215019974494647,12,True
2017,623.0,82492.0,4280.0,0.0,39391.0,259.0,127045.0,0.006942421976465032,0.040631272383801015,12,True
2018,1222.0,65814.0,6630.0,0.0,46776.0,715.0,121157.0,0.015987520324867735,0.07070990532944857,12,True
2019,3443.0,53201.0,9579.0,0.0,45761.0,1321.0,113305.0,0.04204580556903932,0.12658752923525,12,True
2020,3940.0,36208.0,10252.0,0.0,31507.0,2402.0,84309.0,0.07522328577020247,0.19682358941512768,12,True
2021,8554.0,34396.0,18035.0,292.0,32950.0,7626.0,101853.0,0.1588563910734097,0.33592530411475363,12,True
2022,15462.0,27188.0,19908.0,717.0,30627.0,7447.0,101349.0,0.22604071081115748,0.4224708679908041,12,True
2023,22493.0,25938.0,20270.0,5.0,38746.0,9972.0,117424.0,0.27647669982286416,0.4490989916882409,12,True
2024,17191.0,26728.0,25270.0,1.0,36433.0,11060.0,116683.0,0.2421175321169322,0.45868721236169796,12,True
2025,23398.0,20562.0,27379.0,1.0,31221.0,18237.0,120798.0,0.3446663024222255,0.5713174059173165,12,True
2026,15031.0,8295.0,18327.0,0.0,13469.0,9829.0,64951.0,0.3827500731320534,0.6649166294591308,4,False
