AtcoCode,CommonName,Street,stop_category,StopType,Latitude,Longitude,Easting,Northing,AdministrativeAreaRef,Status
7010PB003857,Ballymagrorty,,Bus stop,BCT,55.0334043,-7.3577718,641057,920841,701,active
7010PB003858,Coshquin,,Bus stop,BCT,55.0335753,-7.3578159,641054,920860,701,active
7010PB003859,Culmore Point,Culmore Road,Bus stop,BCT,55.0457123,-7.2744401,646370,922263,701,active
7010PB003860,Culmore Point,Culmore Road,Bus stop,BCT,55.0457025,-7.2742994,646379,922262,701,active
7010B158131,Ulsterbus Depot,,Bus stop,BCT,54.996629,-7.317866,643648,916772,701,active
701000002,Derry Patrick Street,,Bus stop,BCT,54.99998,-7.32234,643358,917142,701,active
701000001,Water Street,,Bus stop,BCT,54.9960687,-7.3173289,643683,916710,701,active
701000004,Dungiven,,Bus stop,BCT,54.9250579,-6.9201336,669220,909127,701,active
701000005,Dungiven,,Bus stop,BCT,54.924501,-6.919088,669288,909066,701,active
701000003,Guild Hall,,Bus stop,BCT,54.997517,-7.319195,643562,916870,701,active
7010B158241,Magee Campus,Boating Club Lane,Bus stop,BCT,55.002956,-7.322545,643342,917473,701,active
7010GA00002,Magilligan Point,,Ferry,FER,55.19104,-6.96577,665857,938686,701,active
701000007,Derry Foyleside,,Bus stop,BCT,54.9941011,-7.317331,643685,916491,701,active
701000006,Drumahoe Park and Ride,,Bus stop,BCT,54.97452,-7.25841,647478,914350,701,active
7010GA12754,Ballycastle,,Ferry,FER,55.20794,-6.24051,711988,941492,701,active
7010GA12755,Rathlin Island,,Ferry,FER,55.29267,-6.19516,714630,950995,701,active
7020IR2162,Belfast,,Rail station,RLY,54.594684,-5.939831,733131,873774,702,active
7020IR0037,Lisburn,,Rail station,RLY,54.513863,-6.045132,726577,864586,702,active
7.02E+11,Jury's Inn,,Bus stop,BCT,54.5962602,-5.934783,733452,873959,702,active
7020GA00001,Strangford,,Ferry,FER,54.37149,-5.55496,758860,849739,702,active
7020GA00002,Portaferry,,Ferry,FER,54.38069,-5.55003,759145,850773,702,active
70200B156091,Glengall Street,,Bus stop,BCT,54.595088,-5.937195,733300,873824,702,active
702000001,Belfast International Airport,,Bus stop,BCT,54.6624429,-6.2178774,714974,880823,702,active
7.03E+11,Clough,,Bus stop,BCT,54.2916988,-5.8376444,740769,840260,703,active
7040IR0090,Lurgan,,Rail station,RLY,54.467011,-6.338528,707705,858884,704,active
7040IR0042,Newry,,Rail station,RLY,54.188659,-6.362413,706876,827874,704,active
7040IR0045,Portadown,,Rail station,RLY,54.424993,-6.445312,700886,854051,704,active
7.04E+11,Hilltown,,Bus stop,BCT,54.194908,-6.1457153,720999,828919,704,active
7040B158011,Lonsdale Road Bus Station,,Bus stop,BCT,54.3524,-6.654316,687479,845693,704,active
7040B558051,Portadown,,Bus stop,BCT,54.421801,-6.445579,700877,853695,704,active
7040B558021,Portadown,,Bus stop,BCT,54.422833,-6.443367,701018,853813,704,active
7040B558041,Lurgan,,Bus stop,BCT,54.467242,-6.399904,703726,858818,704,active
7040B139781,Meigh Cross,Dublin Road,Bus stop,BCT,54.115863,-6.357129,707409,819782,704,active
7040B139771,Killeen Bridge,,Bus stop,BCT,54.131023,-6.346479,708066,821485,704,active
7040B139491,Buttercrane Shopping Centre,,Bus stop,BCT,54.172871,-6.340996,708315,826150,704,active
7040B139501,Newry,Buttercrane Quay,Bus stop,BCT,54.172227,-6.340441,708353,826079,704,active
7040B139481,Newry,,Bus stop,BCT,54.168253,-6.339098,708451,825639,704,active
7040B107131,Cullaville,,Bus stop,BCT,54.0620448,-6.6435252,688801,813396,704,active
7040B156051,Newry,,Bus stop,BCT,54.176002,-6.339467,708407,826501,704,active
7040B150611,Southern Regional College,Patrick Street,Bus stop,BCT,54.176486,-6.34535,708021,826546,704,active
7040B156061,Newry Bus Station,Merchants Quay,Bus stop,BCT,54.174999,-6.340145,708365,826388,704,active
7040GA00004,Greencastle,,Ferry,FER,54.03821,-6.09887,724524,811565,704,active
7040B139761,Killeen Bridge,,Bus stop,BCT,54.131009,-6.346082,708092,821484,704,active
7040B139511,Newry (Opp Quay Shopping Centre),Albert Basin,Bus stop,BCT,54.168692,-6.339019,708455,825688,704,active
7040B139791,Meigh Cross (Service Station),Dublin Road,Bus stop,BCT,54.115892,-6.357279,707399,819785,704,active
7040LL14972,Crossmaglen,,Bus stop,BCT,54.0772,-6.6072,691146,815129,704,active
7040LL14973,Cullaville,,Bus stop,BCT,54.06244,-6.64356,688798,813440,704,active
7040LL14974,Cullaville,Cullaville Road,Bus stop,BCT,54.06297,-6.64291,688839,813500,704,active
7050B108081,Enniskillen,Friths Pass,Bus stop,BCT,54.343694,-7.640079,623403,843949,705,active
7050B1409001,Bellanaleck,,Bus stop,BCT,54.2950047,-7.6380151,623565,838531,705,active
7050B631071,Loughview Drive,Pearse Road,Bus stop,BCT,54.297374,-7.870114,608455,838742,705,active
7050B1415501,Bellanaleck,,Bus stop,BCT,54.2950581,-7.6378303,623577,838537,705,active
7050B141561,Derrylin,Main Street,Bus stop,BCT,54.191678,-7.565736,628341,827058,705,active
7050B140871,Derrylin,Main Street,Bus stop,BCT,54.191672,-7.565929,628328,827058,705,active
7050B630101,Letterbreen,,Bus stop,BCT,54.309493,-7.732162,617430,840116,705,active
7050B630091,Letterbreen,,Bus stop,BCT,54.309287,-7.732686,617396,840093,705,active
7.05E+11,Lisnarick,,Bus stop,BCT,54.4745621,-7.7011073,619373,858495,705,active
7050B141541,Belleek,,Bus stop,BCT,54.476171,-8.094502,593875,858637,705,active
7050B600271,Lisnarick,,Bus stop,BCT,54.476534,-7.698995,619509,858715,705,active
7050B600281,Lisnarick,,Bus stop,BCT,54.476417,-7.698995,619509,858702,705,active
7050B6310001,Belcoo,Sligo Road,Bus stop,BCT,54.297258,-7.869896,608469,838729,705,active
7050B600291,Kesh,,Bus stop,BCT,54.522595,-7.722691,617953,863835,705,active
7050B600311,Kesh,,Bus stop,BCT,54.522531,-7.722475,617967,863828,705,active
7060000001,Omagh,,Bus stop,BCT,54.610702,-7.323314,643714,873816,706,active
7060000002,Strabane,,Bus stop,BCT,54.831483,-7.469682,634073,898307,706,active
7060B157111,Newtownstewart,,Bus stop,BCT,54.721891,-7.372982,640395,886161,706,active
7060B1581401,Sion Mills,,Bus stop,BCT,54.785779,-7.472348,633940,893219,706,active
7060B152481,Sion Mills,,Bus stop,BCT,54.784312,-7.471637,633987,893056,706,active
7060B1581001,Newtownstewart,,Bus stop,BCT,54.721774,-7.373015,640393,886148,706,active
7.06E+11,Dungannon,,Bus stop,BCT,54.5010016,-6.774142,679402,862088,706,active
706000006,Toome,,Bus stop,BCT,54.7601994,-6.4609326,699056,891331,706,active
7060B156031,Ballygawley,Tullybryan Road,Bus stop,BCT,54.456349,-7.033901,662646,856857,706,active
7060B158181,Canal Street,,Bus stop,BCT,54.8277461,-7.4637864,634455,897894,706,active
7060B158031,Ulsterbus Depot,,Bus stop,BCT,54.601343,-7.30175,645117,872788,706,active
7060B158121,Bradley Way,,Bus stop,BCT,54.826507,-7.47009,634051,897753,706,active
706000002,Straughroy,,Bus stop,BCT,54.613074,-7.325008,643602,874079,706,active
706000003,Straughroy,,Bus stop,BCT,54.61303,-7.325148,643593,874074,706,active
7060PB14744,Ballygawley,Omagh Road,Bus stop,BCT,54.45915,-7.03299,662700,857169,706,active
7060PB14745,Ballygawley,Omagh Road,Bus stop,BCT,54.45907,-7.03302,662699,857160,706,active
7060PB14746,Aughnacloy,Moore Street,Bus stop,BCT,54.41509,-6.97663,666426,852318,706,active
7060PB14759,Strabane,,Bus stop,BCT,54.83139,-7.46946,634087,898297,706,active
8210B5981201,SETU Carlow,Kilkenny Road,Bus stop,BCT,52.830054,-6.936121,671692,675986,821,active
8210B136211,Rathvilly,,Bus stop,BCT,52.8805507,-6.6955619,687800,681871,821,active
821000011,Barrack Street,,Bus stop,BCT,52.835387,-6.925423,672404,676590,821,active
8210B3355702,Carlow Bus Station,,Bus stop,BCT,52.833729,-6.926963,672303,676404,821,active
8210B3355701,Carlow Bus Station,,Bus stop,BCT,52.833738,-6.926948,672304,676405,821,active
8210PB000017,Carlow Bus Station,,Bus stop,BCT,52.833629,-6.926862,672310,676393,821,active
8210B1360701,Ballyknockan,,Bus stop,BCT,52.735531,-6.987098,668405,665420,821,active
8210PB000012,Borris,,Bus stop,BCT,52.600186,-6.923985,672892,650424,821,active
8210B3390801,Seskin Road,R448,Bus stop,BCT,52.738872,-6.9856873,668495,665793,821,active
8210B3394301,Royaloak,,Bus stop,BCT,52.704245,-6.984179,668651,661942,821,active
8210PB000008,Royal Oak,Royal Oak Road,Bus stop,BCT,52.7024,-6.98482,668611,661736,821,active
8210B3511401,Rathvilly,N81,Bus stop,BCT,52.8806192,-6.6952479,687821,681879,821,active
8210B3511402,Rathvilly,,Bus stop,BCT,52.880638,-6.695327,687816,681881,821,active
8210B1340202,Hacketstown,Main Street,Bus stop,BCT,52.8653398,-6.5585135,697058,680355,821,active
8210B1340201,Hacketstown,Main Street,Bus stop,BCT,52.865375,-6.558453,697062,680359,821,active
8210B3555602,Tullow Centre,,Bus stop,BCT,52.80311,-6.7359,685237,673207,821,active
8210B3511801,Kildavin,,Bus stop,BCT,52.683916,-6.685386,688885,660007,821,active
821000007,Leighlinbridge,,Bus stop,BCT,52.736693,-6.975816,669165,665560,821,active
821000008,Leighlinbridge,Carlow Road,Bus stop,BCT,52.7365,-6.97598,669154,665538,821,active
821000009,Bagenalstown West,,Bus stop,BCT,52.7005,-6.96598,669887,661543,821,active
821000010,Bagenalstown West,Royal Oak Road,Bus stop,BCT,52.70052,-6.96478,669968,661546,821,active
821000012,Bagenalstown,,Bus stop,BCT,52.7014829,-6.9589592,670360,661659,821,active
821000013,Bagenalstown,,Bus stop,BCT,52.7014856,-6.9592699,670339,661659,821,active
821000016,Dublin Road,,Bus stop,BCT,52.8092439,-6.7276162,685783,673899,821,active
821000018,Saint Patrick's Park,,Bus stop,BCT,52.804379,-6.744251,684671,673338,821,active
821000022,Bennekerry,,Bus stop,BCT,52.821734,-6.877851,675633,675120,821,active
8210B351711,Ballon,,Bus stop,BCT,52.740188,-6.7704,683030,666166,821,active
8210B351721,Ballon,,Bus stop,BCT,52.740087,-6.770225,683042,666155,821,active
8210000199,Carlow College,,Bus stop,BCT,52.838603,-6.927199,672279,676946,821,active
8210B154001,Tullow North,,Bus stop,BCT,52.804658,-6.732496,685463,673383,821,active
8210B153991,Tullow North,,Bus stop,BCT,52.80482,-6.732506,685462,673401,821,active
821000001,Iona Drive,,Bus stop,BCT,52.839761,-6.919111,672822,677083,821,active
821000002,Iona Drive,,Bus stop,BCT,52.839643,-6.91901,672829,677070,821,active
8210B136231,Hacketstown,,Bus stop,BCT,52.865221,-6.558399,697066,680342,821,active
8210B136061,SETU Carlow,,Bus stop,BCT,52.8299812,-6.9359746,671702,675978,821,active
8210LL10438,Rathtoe,,Bus stop,BCT,52.787964,-6.800573,680904,671447,821,active
8210TR000006,Tullys Travel,Tullow Street,Taxi rank,TXR,52.8363496,-6.9305054,672060,676692,821,active
8210TR000008,Heatons,X,Taxi rank,TXR,52.8344519,-6.9234132,672541,676488,821,active
8210TR000007,Shaws Department Store,Tullow Street,Taxi rank,TXR,52.8364549,-6.9312301,672011,676703,821,active
8210LL10002,Kildavin,,Bus stop,BCT,52.683383,-6.685161,688901,659948,821,active
8210LL10003,Kildavin,,Bus stop,BCT,52.68339,-6.684983,688913,659949,821,active
8210TR000001,Fdc Accountants,The Square,Taxi rank,TXR,52.8027506,-6.7365265,685195,673166,821,active
8210TR000005,Brooks Restaurant,Tullow Street,Taxi rank,TXR,52.8362629,-6.9298693,672103,676683,821,active
8210TR000004,Bruce Betting,Potato Market,Taxi rank,TXR,52.8359612,-6.9292979,672142,676650,821,active
8210TR000003,Ulster Bank,Kennedy Avenue,Taxi rank,TXR,52.8346378,-6.9280689,672227,676504,821,active
8210TR000002,Carlow Train Station,St Josephs Road,Taxi rank,TXR,52.8407397,-6.9229905,672559,677188,821,active
8210B3555603,Tullow Centre,Bridge Street,Bus stop,BCT,52.802936,-6.73618,685218,673187,821,active
8210IR0002,Carlow,,Rail station,RLY,52.840788,-6.922622,672584,677194,821,active
8210IR0001,Muine Bheag (Bagenalstown),,Rail station,RLY,52.69918,-6.952653,670790,661409,821,active
821000004,Tullow South,Abbey Street,Bus stop,BCT,52.80091,-6.73953,684996,672958,821,active
821000003,Tullow South,,Bus stop,BCT,52.800986,-6.739633,684989,672966,821,active
8210LL10874,Tinryland,,Bus stop,BCT,52.79841,-6.89996,674183,672502,821,active
821000005,Carlow Institute,,Bus stop,BCT,52.8191,-6.94496,671114,674758,821,active
821000006,Carlow Institute,Kilkenny Road,Bus stop,BCT,52.81932,-6.94503,671109,674783,821,active
821000014,Granby Row,,Bus stop,BCT,52.832607,-6.932067,671961,676274,821,active
821000015,Granby Row,,Bus stop,BCT,52.832589,-6.932171,671954,676272,821,active
8210B339081,Ballyknockan,R448,Bus stop,BCT,52.738872,-6.985687,668495,665793,821,active
821000017,SETU Green Road,,Bus stop,BCT,52.826438,-6.93572,671725,675584,821,active
8210B335561,Barrack Street,,Bus stop,BCT,52.8353869,-6.9254235,672404,676590,821,active
821000019,Carlow Station,,Bus stop,BCT,52.84068,-6.92294,672563,677181,821,active
821000020,Carlow Station,,Bus stop,BCT,52.84082,-6.92283,672570,677197,821,active
821000023,Royal Oak Road,,Bus stop,BCT,52.70069,-6.959807,670304,661570,821,active
8210CO11091,Carlow Institute,,Bus stop,BCT,52.819187,-6.94511,671104,674768,821,active
8210CO11097,Hanover Bus Park,,Bus stop,BCT,52.833674,-6.926876,672309,676398,821,active
8210CO11106,MSD Carlow,,Bus stop,BCT,52.854254,-6.884615,675121,678731,821,active
8210CO11114,Green Lane,,Bus stop,BCT,52.84178,-6.916849,672971,677310,821,active
8210CO11115,Fire Station,,Bus stop,BCT,52.83698,-6.922727,672583,676770,821,active
8210CO11123,Carlow Institute,,Bus stop,BCT,52.8191764,-6.9449177,671117,674767,821,active
8210CO11146,Ashgrove,,Bus stop,BCT,52.830639,-6.912407,673289,676075,821,active
8210CO11147,Mount Leinster Park,,Bus stop,BCT,52.833066,-6.9134,673218,676344,821,active
