,AtcoCode,PlateCode,CommonName,ShortCommonName,CommonNameGA,ShortCommonNameGA,Indicator,Street,NptgLocalityRef,GridType,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Status,CreationDateTime,ModificationDateTime
0,7010PB003857,,Ballymagrorty,Ballymagrorty,B Mhic Robhartaigh,B Mhic Robhartaigh,Near,,E0701003,ITM,641057,920841,55.0334043,-7.3577718,BCT,CUS,OTH,NW,,701,active,1969-12-31T00:00:00.000,2021-06-01T16:08:18.000
1,7010PB003858,,Coshquin,,,,Nr,,E0701003,ITM,641054,920860,55.0335753,-7.3578159,BCT,CUS,OTH,N,,701,active,1969-12-31T00:00:00.000,2016-10-28T15:12:27.000
2,7010PB003859,,Culmore Point,,,,Opp,Culmore Road,E0701003,ITM,646370,922263,55.0457123,-7.2744401,BCT,CUS,OTH,N,,701,active,1969-12-31T00:00:00.000,1969-12-31T23:00:00.000
3,7010PB003860,,Culmore Point,,,,o/s,Culmore Road,E0701003,ITM,646379,922262,55.0457025,-7.2742994,BCT,CUS,OTH,N,,701,active,1969-12-31T00:00:00.000,1969-12-31T23:00:00.000
4,7010B158131,158131,Ulsterbus Depot,Ulsterbus Depot,Busáras Ulsterbus,Busáras Ulsterbus,,,E0701001,ITM,643648,916772,54.996629,-7.317866,BCT,CUS,OTH,N,,701,active,2000-01-01T00:00:00.000,2025-09-22T08:44:01.000
5,701000002,12537,Derry Patrick Street,Derry Patrick St,Doire Sráid Phádraig,Doire Sr Phádraig,,,E0701001,ITM,643358,917142,54.99998,-7.32234,BCT,CUS,OTH,N,,701,active,2020-05-07T00:00:00.000,2026-03-11T11:19:15.001
6,701000001,13223,Water Street,Water Street,Sráid an Uisce,Sráid an Uisce,,,E0701001,ITM,643683,916710,54.9960687,-7.3173289,BCT,CUS,OTH,N,,701,active,2016-10-04T00:00:00.000,2025-05-12T14:18:52.882
7,701000004,,Dungiven,Dungiven,Dún Geimhin,Dún Geimhin,,,E0701001,ITM,669220,909127,54.9250579,-6.9201336,BCT,MKD,OTH,S,,701,active,2019-10-18T00:00:00.000,2021-06-28T12:45:01.000
8,701000005,,Dungiven,Dungiven,Dún Geimhin,Dún Geimhin,,,E0701001,ITM,669288,909066,54.924501,-6.919088,BCT,CUS,OTH,N,,701,active,2019-10-18T00:00:00.000,2025-09-22T08:44:01.000
9,701000003,,Guild Hall,Guild Hall,Halla Guild,Halla Guild,,,E0701001,ITM,643562,916870,54.997517,-7.319195,BCT,CUS,OTH,N,,701,active,2019-10-18T00:00:00.000,2025-09-22T08:44:01.000
