STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),2018,Under 1 year,Male,Thousand,31.7
Population Estimates (Persons in April),2018,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),2018,0 - 4 years,Male,Thousand,163.9
Population Estimates (Persons in April),2018,0 - 4 years,Female,Thousand,156.1
Population Estimates (Persons in April),2018,0 - 14 years,Male,Thousand,519.3
Population Estimates (Persons in April),2018,0 - 14 years,Female,Thousand,495.1
Population Estimates (Persons in April),2018,1 - 4 years,Male,Thousand,132.2
Population Estimates (Persons in April),2018,1 - 4 years,Female,Thousand,126.1
Population Estimates (Persons in April),2018,5 - 9 years,Male,Thousand,183.9
Population Estimates (Persons in April),2018,5 - 9 years,Female,Thousand,175.8
Population Estimates (Persons in April),2018,10 - 14 years,Male,Thousand,171.6
Population Estimates (Persons in April),2018,10 - 14 years,Female,Thousand,163.2
Population Estimates (Persons in April),2018,15 - 19 years,Male,Thousand,162.1
Population Estimates (Persons in April),2018,15 - 19 years,Female,Thousand,156
Population Estimates (Persons in April),2018,15 - 24 years,Male,Thousand,310.4
Population Estimates (Persons in April),2018,15 - 24 years,Female,Thousand,298.8
Population Estimates (Persons in April),2018,15 years and over,Male,Thousand,1900.2
Population Estimates (Persons in April),2018,15 years and over,Female,Thousand,1970.3
Population Estimates (Persons in April),2018,20 - 24 years,Male,Thousand,148.3
Population Estimates (Persons in April),2018,20 - 24 years,Female,Thousand,142.9
Population Estimates (Persons in April),2018,25 - 29 years,Male,Thousand,146.6
Population Estimates (Persons in April),2018,25 - 29 years,Female,Thousand,146.8
Population Estimates (Persons in April),2018,25 - 44 years,Male,Thousand,685.9
Population Estimates (Persons in April),2018,25 - 44 years,Female,Thousand,716.9
Population Estimates (Persons in April),2018,30 - 34 years,Male,Thousand,162.2
Population Estimates (Persons in April),2018,30 - 34 years,Female,Thousand,175.5
Population Estimates (Persons in April),2018,35 - 39 years,Male,Thousand,193.9
Population Estimates (Persons in April),2018,35 - 39 years,Female,Thousand,206.7
Population Estimates (Persons in April),2018,40 - 44 years,Male,Thousand,183.2
Population Estimates (Persons in April),2018,40 - 44 years,Female,Thousand,187.9
Population Estimates (Persons in April),2018,45 - 49 years,Male,Thousand,171.5
Population Estimates (Persons in April),2018,45 - 49 years,Female,Thousand,172
Population Estimates (Persons in April),2018,45 - 64 years,Male,Thousand,586.9
Population Estimates (Persons in April),2018,45 - 64 years,Female,Thousand,595.2
Population Estimates (Persons in April),2018,50 - 54 years,Male,Thousand,153
Population Estimates (Persons in April),2018,50 - 54 years,Female,Thousand,155.7
Population Estimates (Persons in April),2018,55 - 59 years,Male,Thousand,139.2
Population Estimates (Persons in April),2018,55 - 59 years,Female,Thousand,142.3
Population Estimates (Persons in April),2018,60 - 64 years,Male,Thousand,123.2
Population Estimates (Persons in April),2018,60 - 64 years,Female,Thousand,125.2
Population Estimates (Persons in April),2018,65 - 69 years,Male,Thousand,107.8
Population Estimates (Persons in April),2018,65 - 69 years,Female,Thousand,110
Population Estimates (Persons in April),2018,65 years and over,Male,Thousand,317
Population Estimates (Persons in April),2018,65 years and over,Female,Thousand,359.4
Population Estimates (Persons in April),2018,70 - 74 years,Male,Thousand,87.8
Population Estimates (Persons in April),2018,70 - 74 years,Female,Thousand,90.9
Population Estimates (Persons in April),2018,75 - 79 years,Male,Thousand,57.9
Population Estimates (Persons in April),2018,75 - 79 years,Female,Thousand,64.6
Population Estimates (Persons in April),2018,80 - 84 years,Male,Thousand,37.7
Population Estimates (Persons in April),2018,80 - 84 years,Female,Thousand,47.8
Population Estimates (Persons in April),2018,85 years and over,Male,Thousand,25.8
Population Estimates (Persons in April),2018,85 years and over,Female,Thousand,46
Population Estimates (Persons in April),2019,Under 1 year,Male,Thousand,30.8
Population Estimates (Persons in April),2019,Under 1 year,Female,Thousand,29.6
Population Estimates (Persons in April),2019,0 - 4 years,Male,Thousand,161.3
