Statistic Label,Month,Type of Vehicle Registration,Type of Fuel,UNIT,VALUE
New Vehicles Licensed for the First Time,2015 January,All Vehicles,All fuel types,Number,23152
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Petrol,Number,5424
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Diesel,Number,17334
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Petrol and electric hybrid,Number,283
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Electric,Number,68
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Petrol or Diesel plug-in hybrid electric,Number,20
New Vehicles Licensed for the First Time,2015 January,All Vehicles,Diesel and electric hybrid,Number,23
New Vehicles Licensed for the First Time,2015 January,New Private Cars,All fuel types,Number,20105
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Petrol,Number,5194
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Diesel,Number,14529
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Petrol and electric hybrid,Number,273
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Electric,Number,68
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Petrol or Diesel plug-in hybrid electric,Number,19
New Vehicles Licensed for the First Time,2015 January,New Private Cars,Diesel and electric hybrid,Number,22
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,All fuel types,Number,2050
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Diesel,Number,2049
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Petrol or Diesel plug-in hybrid electric,Number,1
New Vehicles Licensed for the First Time,2015 January,New Goods Vehicles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,All fuel types,Number,197
New Vehicles Licensed for the First Time,2015 January,New Tractors,Petrol,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,Diesel,Number,197
New Vehicles Licensed for the First Time,2015 January,New Tractors,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Tractors,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 January,New Agriculture Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,All fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Petrol,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Diesel,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Other fuel types,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Petrol and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Electric,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Petrol or Diesel plug-in hybrid electric,Number,
New Vehicles Licensed for the First Time,2015 January,New General Haulage Tractors,Diesel and electric hybrid,Number,
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,All fuel types,Number,115
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Petrol,Number,115
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Diesel,Number,0
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Other fuel types,Number,0
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Petrol and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Petrol or Diesel plug-in hybrid electric,Number,0
New Vehicles Licensed for the First Time,2015 January,New Motor Cycles,Diesel and electric hybrid,Number,0
New Vehicles Licensed for the First Time,2015 January,New Exempt Vehicles,All fuel types,Number,567
New Vehicles Licensed for the First Time,2015 January,New Exempt Vehicles,Petrol,Number,113
New Vehicles Licensed for the First Time,2015 January,New Exempt Vehicles,Diesel,Number,443
