Statistic Label,Year,Fuel Type,County of Ownership,Type of Vehicle,Year of Registration,UNIT,VALUE
Vehicle Population,2018,Petrol,Co. Carlow,Private cars,All years,Number,10797
Vehicle Population,2018,Petrol,Co. Carlow,Goods vehicles,All years,Number,9
Vehicle Population,2018,Petrol,Co. Carlow,Motor cycles,All years,Number,563
Vehicle Population,2018,Petrol,Co. Carlow,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Petrol,Co. Carlow,Small PSVs,All years,Number,11
Vehicle Population,2018,Petrol,Co. Carlow,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Carlow,Exempt vehicles,All years,Number,42
Vehicle Population,2018,Petrol,Co. Carlow,Other vehicles,All years,Number,449
Vehicle Population,2018,Petrol,Co. Dublin,Private cars,All years,Number,299407
Vehicle Population,2018,Petrol,Co. Dublin,Goods vehicles,All years,Number,178
Vehicle Population,2018,Petrol,Co. Dublin,Motor cycles,All years,Number,12575
Vehicle Population,2018,Petrol,Co. Dublin,Tractors & Machinery,All years,Number,11
Vehicle Population,2018,Petrol,Co. Dublin,Small PSVs,All years,Number,1579
Vehicle Population,2018,Petrol,Co. Dublin,Large PSVs,All years,Number,1
Vehicle Population,2018,Petrol,Co. Dublin,Exempt vehicles,All years,Number,2362
Vehicle Population,2018,Petrol,Co. Dublin,Other vehicles,All years,Number,4387
Vehicle Population,2018,Petrol,Co. Kildare,Private cars,All years,Number,44522
Vehicle Population,2018,Petrol,Co. Kildare,Goods vehicles,All years,Number,42
Vehicle Population,2018,Petrol,Co. Kildare,Motor cycles,All years,Number,2161
Vehicle Population,2018,Petrol,Co. Kildare,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Petrol,Co. Kildare,Small PSVs,All years,Number,70
Vehicle Population,2018,Petrol,Co. Kildare,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Kildare,Exempt vehicles,All years,Number,146
Vehicle Population,2018,Petrol,Co. Kildare,Other vehicles,All years,Number,1217
Vehicle Population,2018,Petrol,Co. Kilkenny,Private cars,All years,Number,17346
Vehicle Population,2018,Petrol,Co. Kilkenny,Goods vehicles,All years,Number,12
Vehicle Population,2018,Petrol,Co. Kilkenny,Motor cycles,All years,Number,871
Vehicle Population,2018,Petrol,Co. Kilkenny,Tractors & Machinery,All years,Number,6
Vehicle Population,2018,Petrol,Co. Kilkenny,Small PSVs,All years,Number,10
Vehicle Population,2018,Petrol,Co. Kilkenny,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Kilkenny,Exempt vehicles,All years,Number,77
Vehicle Population,2018,Petrol,Co. Kilkenny,Other vehicles,All years,Number,537
Vehicle Population,2018,Petrol,Co. Laois,Private cars,All years,Number,12392
Vehicle Population,2018,Petrol,Co. Laois,Goods vehicles,All years,Number,17
Vehicle Population,2018,Petrol,Co. Laois,Motor cycles,All years,Number,512
Vehicle Population,2018,Petrol,Co. Laois,Tractors & Machinery,All years,Number,15
Vehicle Population,2018,Petrol,Co. Laois,Small PSVs,All years,Number,12
Vehicle Population,2018,Petrol,Co. Laois,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Laois,Exempt vehicles,All years,Number,52
Vehicle Population,2018,Petrol,Co. Laois,Other vehicles,All years,Number,410
Vehicle Population,2018,Petrol,Co. Longford,Private cars,All years,Number,5805
Vehicle Population,2018,Petrol,Co. Longford,Goods vehicles,All years,Number,5
Vehicle Population,2018,Petrol,Co. Longford,Motor cycles,All years,Number,213
Vehicle Population,2018,Petrol,Co. Longford,Tractors & Machinery,All years,Number,5
Vehicle Population,2018,Petrol,Co. Longford,Small PSVs,All years,Number,4
Vehicle Population,2018,Petrol,Co. Longford,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Longford,Exempt vehicles,All years,Number,29
Vehicle Population,2018,Petrol,Co. Longford,Other vehicles,All years,Number,143
Vehicle Population,2018,Petrol,Co. Louth,Private cars,All years,Number,20722
Vehicle Population,2018,Petrol,Co. Louth,Goods vehicles,All years,Number,11
Vehicle Population,2018,Petrol,Co. Louth,Motor cycles,All years,Number,850
Vehicle Population,2018,Petrol,Co. Louth,Tractors & Machinery,All years,Number,42
Vehicle Population,2018,Petrol,Co. Louth,Small PSVs,All years,Number,46
Vehicle Population,2018,Petrol,Co. Louth,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Louth,Exempt vehicles,All years,Number,160
Vehicle Population,2018,Petrol,Co. Louth,Other vehicles,All years,Number,446
Vehicle Population,2018,Petrol,Co. Meath,Private cars,All years,Number,34216
Vehicle Population,2018,Petrol,Co. Meath,Goods vehicles,All years,Number,19
Vehicle Population,2018,Petrol,Co. Meath,Motor cycles,All years,Number,1682
Vehicle Population,2018,Petrol,Co. Meath,Tractors & Machinery,All years,Number,9
Vehicle Population,2018,Petrol,Co. Meath,Small PSVs,All years,Number,96
Vehicle Population,2018,Petrol,Co. Meath,Large PSVs,All years,Number,2
Vehicle Population,2018,Petrol,Co. Meath,Exempt vehicles,All years,Number,177
Vehicle Population,2018,Petrol,Co. Meath,Other vehicles,All years,Number,965
Vehicle Population,2018,Petrol,Co. Offaly,Private cars,All years,Number,12252
Vehicle Population,2018,Petrol,Co. Offaly,Goods vehicles,All years,Number,7
Vehicle Population,2018,Petrol,Co. Offaly,Motor cycles,All years,Number,666
Vehicle Population,2018,Petrol,Co. Offaly,Tractors & Machinery,All years,Number,3
Vehicle Population,2018,Petrol,Co. Offaly,Small PSVs,All years,Number,14
Vehicle Population,2018,Petrol,Co. Offaly,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Offaly,Exempt vehicles,All years,Number,43
Vehicle Population,2018,Petrol,Co. Offaly,Other vehicles,All years,Number,350
Vehicle Population,2018,Petrol,Co. Westmeath,Private cars,All years,Number,14417
Vehicle Population,2018,Petrol,Co. Westmeath,Goods vehicles,All years,Number,9
Vehicle Population,2018,Petrol,Co. Westmeath,Motor cycles,All years,Number,603
Vehicle Population,2018,Petrol,Co. Westmeath,Tractors & Machinery,All years,Number,8
Vehicle Population,2018,Petrol,Co. Westmeath,Small PSVs,All years,Number,14
Vehicle Population,2018,Petrol,Co. Westmeath,Large PSVs,All years,Number,0
Vehicle Population,2018,Petrol,Co. Westmeath,Exempt vehicles,All years,Number,51
Vehicle Population,2018,Petrol,Co. Westmeath,Other vehicles,All years,Number,308
Vehicle Population,2018,Petrol,Co. Wexford,Private cars,All years,Number,29236
Vehicle Population,2018,Petrol,Co. Wexford,Goods vehicles,All years,Number,20
Vehicle Population,2018,Petrol,Co. Wexford,Motor cycles,All years,Number,1502
Vehicle Population,2018,Petrol,Co. Wexford,Tractors & Machinery,All years,Number,7
