Statistic Label,Year,Type of Ownership,Engine Capacity cc,Fuel Type,County of Ownership,Year of Registration,UNIT,VALUE
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Carlow,All years,Number,1607
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Cavan,All years,Number,1752
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Clare,All years,Number,3493
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Cork,All years,Number,19213
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Donegal,All years,Number,3704
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Dublin,All years,Number,44721
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Galway,All years,Number,6394
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Kerry,All years,Number,4426
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Kildare,All years,Number,6850
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Kilkenny,All years,Number,2837
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Laois,All years,Number,1998
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Leitrim,All years,Number,815
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Limerick,All years,Number,6145
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Longford,All years,Number,1009
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Louth,All years,Number,3827
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Mayo,All years,Number,3469
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Meath,All years,Number,4898
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Monaghan,All years,Number,1188
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Offaly,All years,Number,2107
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Roscommon,All years,Number,2304
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Sligo,All years,Number,1939
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Tipperary,All years,Number,4872
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Waterford,All years,Number,4732
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Westmeath,All years,Number,2345
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Wexford,All years,Number,4866
Vehicle Population,2018,All owners,Up to 1000 cc,Petrol,Co. Wicklow,All years,Number,4832
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Carlow,All years,Number,1
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Cavan,All years,Number,2
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Clare,All years,Number,5
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Cork,All years,Number,16
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Donegal,All years,Number,4
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Dublin,All years,Number,80
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Galway,All years,Number,12
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Kerry,All years,Number,4
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Kildare,All years,Number,6
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Kilkenny,All years,Number,2
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Laois,All years,Number,1
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Leitrim,All years,Number,0
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Limerick,All years,Number,2
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Longford,All years,Number,1
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Louth,All years,Number,4
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Mayo,All years,Number,3
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Meath,All years,Number,4
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Monaghan,All years,Number,5
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Offaly,All years,Number,2
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Roscommon,All years,Number,0
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Sligo,All years,Number,2
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Tipperary,All years,Number,7
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Waterford,All years,Number,3
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Westmeath,All years,Number,5
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Wexford,All years,Number,5
Vehicle Population,2018,All owners,Up to 1000 cc,Diesel,Co. Wicklow,All years,Number,3
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Carlow,All years,Number,36
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Cavan,All years,Number,29
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Clare,All years,Number,91
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Cork,All years,Number,429
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Donegal,All years,Number,42
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Dublin,All years,Number,1407
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Galway,All years,Number,196
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Kerry,All years,Number,86
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Kildare,All years,Number,232
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Kilkenny,All years,Number,46
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Laois,All years,Number,42
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Leitrim,All years,Number,14
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Limerick,All years,Number,107
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Longford,All years,Number,21
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Louth,All years,Number,76
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Mayo,All years,Number,52
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Meath,All years,Number,199
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Monaghan,All years,Number,28
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Offaly,All years,Number,25
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Roscommon,All years,Number,24
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Sligo,All years,Number,21
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Tipperary,All years,Number,87
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Waterford,All years,Number,84
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Westmeath,All years,Number,79
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Wexford,All years,Number,116
Vehicle Population,2018,All owners,Up to 1000 cc,Other fuel types,Co. Wicklow,All years,Number,218
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Carlow,All years,Number,1575
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Cavan,All years,Number,1437
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Clare,All years,Number,3113
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Cork,All years,Number,16804
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Donegal,All years,Number,2783
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Dublin,All years,Number,45979
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Galway,All years,Number,5661
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Kerry,All years,Number,3960
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Kildare,All years,Number,7239
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Kilkenny,All years,Number,2645
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Laois,All years,Number,1765
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Leitrim,All years,Number,703
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Limerick,All years,Number,5289
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Longford,All years,Number,750
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Louth,All years,Number,3753
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Mayo,All years,Number,2451
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Meath,All years,Number,5568
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Monaghan,All years,Number,1098
Vehicle Population,2018,All owners,1001 - 1200 cc,Petrol,Co. Offaly,All years,Number,1704
