Year,county,car_stock,census_2022_population,cars_per_1000,vkm_million,vkm_per_capita
2018,Carlow,28512,61928,460.41,711,11481.1
2018,Cavan,31850,82769,384.81,869,10499.1
2018,Clare,57427,127796,449.36,1377,10775.0
2018,Cork,257933,571017,451.71,5593,9794.8
2018,Donegal,64283,170386,377.28,1593,9349.4
2018,Dublin,542536,1450100,374.14,10201,7034.7
2018,Galway,114293,270053,423.22,2731,10112.8
2018,Kerry,71898,156458,459.54,1666,10648.2
2018,Kildare,103516,246977,419.13,2331,9438.1
2018,Kilkenny,44550,102336,435.33,1125,10993.2
2018,Laois,34879,91749,380.16,889,9689.5
2018,Leitrim,14549,35090,414.62,386,11000.3
2018,Limerick,89181,208689,427.34,2045,9799.3
2018,Longford,17297,46272,373.81,468,10114.1
2018,Louth,51527,143552,358.94,1162,8094.6
2018,Mayo,60961,136449,446.77,1555,11396.2
2018,Meath,88361,218971,403.53,2107,9622.3
2018,Monaghan,25717,63927,402.29,750,11732.1
2018,Offaly,34485,82604,417.47,876,10604.8
2018,Roscommon,32566,70328,463.06,869,12356.4
2018,Sligo,29107,70198,414.64,703,10014.5
2018,Tipperary,79390,169401,468.65,1972,11641.0
2018,Waterford,57596,130671,440.77,1227,9390.0
2018,Westmeath,41252,96231,428.68,1033,10734.6
2018,Wexford,75186,165675,453.82,1851,11172.5
2018,Wicklow,68616,155594,440.99,1441,9261.3
2019,Carlow,29216,61928,471.77,708,11432.6
2019,Cavan,32908,82769,397.59,872,10535.3
2019,Clare,58668,127796,459.08,1349,10555.9
2019,Cork,264072,571017,462.46,5531,9686.2
2019,Donegal,66326,170386,389.27,1596,9367.0
2019,Dublin,552556,1450100,381.05,10040,6923.7
2019,Galway,117291,270053,434.33,2733,10120.2
2019,Kerry,73292,156458,468.45,1642,10494.8
2019,Kildare,106621,246977,431.7,2294,9288.3
2019,Kilkenny,45474,102336,444.36,1108,10827.1
2019,Laois,35886,91749,391.13,887,9667.7
2019,Leitrim,14932,35090,425.53,390,11114.3
2019,Limerick,90782,208689,435.01,2005,9607.6
2019,Longford,17731,46272,383.19,468,10114.1
2019,Louth,53142,143552,370.19,1146,7983.2
2019,Mayo,62070,136449,454.9,1530,11213.0
2019,Meath,91553,218971,418.11,2115,9658.8
2019,Monaghan,26561,63927,415.49,748,11700.8
2019,Offaly,35304,82604,427.39,871,10544.3
2019,Roscommon,33756,70328,479.98,875,12441.7
2019,Sligo,29610,70198,421.81,694,9886.3
2019,Tipperary,81246,169401,479.61,1959,11564.3
2019,Waterford,58967,130671,451.26,1220,9336.4
2019,Westmeath,42204,96231,438.57,1025,10651.5
2019,Wexford,77634,165675,468.59,1834,11069.9
2019,Wicklow,70299,155594,451.81,1422,9139.2
2020,Carlow,29697,61928,479.54,546,8816.7
2020,Cavan,34054,82769,411.43,688,8312.3
2020,Clare,59779,127796,467.77,1033,8083.2
2020,Cork,269649,571017,472.23,4238,7421.8
2020,Donegal,68438,170386,401.66,1252,7348.0
2020,Dublin,556944,1450100,384.07,7621,5255.5
2020,Galway,120126,270053,444.82,2113,7824.4
2020,Kerry,74962,156458,479.12,1265,8085.2
2020,Kildare,110351,246977,446.81,1774,7182.9
2020,Kilkenny,46751,102336,456.84,865,8452.5
2020,Laois,37133,91749,404.72,692,7542.3
2020,Leitrim,15407,35090,439.07,301,8577.9
2020,Limerick,92376,208689,442.65,1536,7360.2
2020,Longford,18187,46272,393.05,369,7974.6
2020,Louth,54819,143552,381.88,884,6158.0
2020,Mayo,63270,136449,463.69,1190,8721.2
2020,Meath,95350,218971,435.45,1650,7535.2
2020,Monaghan,27330,63927,427.52,591,9244.9
2020,Offaly,36153,82604,437.67,673,8147.3
2020,Roscommon,32690,70328,464.82,643,9142.9
2020,Sligo,30310,70198,431.78,545,7763.8
2020,Tipperary,83387,169401,492.25,1524,8996.4
2020,Waterford,59749,130671,457.25,920,7040.6
2020,Westmeath,43215,96231,449.08,794,8251.0
2020,Wexford,79216,165675,478.14,1428,8619.3
2020,Wicklow,72071,155594,463.2,1084,6966.8
2021,Carlow,30256,61928,488.57,633,10221.5
2021,Cavan,35070,82769,423.71,802,9689.6
2021,Clare,61006,127796,477.37,1199,9382.1
2021,Cork,274603,571017,480.9,4901,8582.9
2021,Donegal,70014,170386,410.91,1466,8604.0
2021,Dublin,562538,1450100,387.93,8738,6025.8
2021,Galway,122273,270053,452.77,2441,9039.0
2021,Kerry,76264,156458,487.44,1465,9363.5
2021,Kildare,112907,246977,457.16,2054,8316.6
2021,Kilkenny,47736,102336,466.46,994,9713.1
2021,Laois,37900,91749,413.08,804,8763.0
2021,Leitrim,15856,35090,451.87,352,10031.3
2021,Limerick,93770,208689,449.33,1772,8491.1
2021,Longford,18590,46272,401.75,428,9249.7
2021,Louth,55812,143552,388.79,1014,7063.6
2021,Mayo,64581,136449,473.3,1386,10157.6
2021,Meath,97623,218971,445.83,1913,8736.3
2021,Monaghan,27923,63927,436.8,692,10824.8
2021,Offaly,37009,82604,448.03,788,9539.5
2021,Roscommon,33306,70328,473.58,743,10564.8
2021,Sligo,30852,70198,439.5,625,8903.4
2021,Tipperary,84889,169401,501.11,1773,10466.3
2021,Waterford,60285,130671,461.35,1049,8027.8
2021,Westmeath,43962,96231,456.84,919,9549.9
2021,Wexford,80520,165675,486.01,1659,10013.6
2021,Wicklow,73375,155594,471.58,1246,8008.0
2022,Carlow,30337,61928,489.88,714,11529.5
2022,Cavan,35070,82769,423.71,899,10861.6
2022,Clare,61347,127796,480.04,1361,10649.8
2022,Cork,276451,571017,484.14,5543,9707.2
2022,Donegal,70118,170386,411.52,1654,9707.4
2022,Dublin,567121,1450100,391.09,10067,6942.3
2022,Galway,123690,270053,458.02,2772,10264.7
2022,Kerry,76980,156458,492.02,1670,10673.8
2022,Kildare,115005,246977,465.65,2369,9592.0
2022,Kilkenny,48058,102336,469.61,1126,11003.0
2022,Laois,38303,91749,417.48,912,9940.2
2022,Leitrim,15913,35090,453.49,399,11370.8
2022,Limerick,93983,208689,450.35,1994,9554.9
2022,Longford,18640,46272,402.84,478,10330.2
2022,Louth,56095,143552,390.76,1147,7990.1
2022,Mayo,64822,136449,475.06,1555,11396.2
2022,Meath,98687,218971,450.69,2172,9919.1
2022,Monaghan,27943,63927,437.11,771,12060.6
2022,Offaly,37233,82604,450.74,890,10774.3
2022,Roscommon,34454,70328,489.9,870,12370.6
2022,Sligo,30952,70198,440.92,705,10043.0
2022,Tipperary,85167,169401,502.75,1999,11800.4
2022,Waterford,60954,130671,466.47,1195,9145.1
2022,Westmeath,44165,96231,458.95,1038,10786.5
2022,Wexford,81525,165675,492.08,1884,11371.7
2022,Wicklow,73192,155594,470.4,1403,9017.1
2023,Carlow,31093,61928,502.08,708,11432.6
2023,Cavan,35779,82769,432.28,885,10692.4
2023,Clare,62474,127796,488.86,1337,10462.0
2023,Cork,280820,571017,491.79,5469,9577.6
2023,Donegal,71383,170386,418.95,1631,9572.4
2023,Dublin,575533,1450100,396.89,10117,6976.8
2023,Galway,126905,270053,469.93,2765,10238.7
2023,Kerry,78609,156458,502.43,1663,10629.1
2023,Kildare,118295,246977,478.97,2391,9681.1
2023,Kilkenny,48945,102336,478.28,1118,10924.8
2023,Laois,39481,91749,430.32,904,9853.0
2023,Leitrim,16254,35090,463.21,393,11199.8
2023,Limerick,95450,208689,457.38,1967,9425.5
2023,Longford,18985,46272,410.29,466,10070.9
2023,Louth,57574,143552,401.07,1137,7920.5
2023,Mayo,65959,136449,483.4,1516,11110.4
2023,Meath,101201,218971,462.17,2157,9850.6
2023,Monaghan,28438,63927,444.85,754,11794.7
2023,Offaly,37998,82604,460.0,879,10641.1
2023,Roscommon,36484,70328,518.77,889,12640.8
2023,Sligo,31597,70198,450.11,693,9872.1
2023,Tipperary,86490,169401,510.56,1956,11546.6
2023,Waterford,62795,130671,480.56,1200,9183.4
2023,Westmeath,45255,96231,470.27,1022,10620.3
2023,Wexford,83783,165675,505.71,1881,11353.6
2023,Wicklow,73930,155594,475.15,1383,8888.5
