Year,fuel_type,fleet_stock,fleet_share
2018,Diesel,1129404,0.5334
2018,Other fuel types,41204,0.0195
2018,Petrol,946860,0.4472
2019,Diesel,1207680,0.557
2019,Other fuel types,59755,0.0276
2019,Petrol,900666,0.4154
2020,Diesel,1267789,0.5733
2020,Other fuel types,82230,0.0372
2020,Petrol,861395,0.3895
2021,Diesel,1300120,0.5781
2021,Other fuel types,118198,0.0526
2021,Petrol,830602,0.3693
2022,Diesel,1288599,0.5686
2022,Other fuel types,165938,0.0732
2022,Petrol,811668,0.3582
2023,Diesel,1277358,0.5526
2023,Other fuel types,218851,0.0947
2023,Petrol,815301,0.3527
