county,median_income,income_tier
Clare,54654,Medium
Cork,60671,High
Cavan,52321,Medium
Carlow,53119,Medium
Donegal,42497,Low
Dublin,71123,High
Galway,59641,High
Kildare,72997,High
Kilkenny,58186,High
Kerry,48320,Low
Longford,47217,Low
Louth,54600,Medium
Limerick,55952,Medium
Leitrim,45267,Low
Laois,59521,High
Meath,70657,High
Monaghan,50617,Low
Mayo,48665,Low
Offaly,56048,Medium
Roscommon,51009,Low
Sligo,50438,Low
Tipperary,52756,Medium
Waterford,51539,Medium
Wicklow,64077,High
Westmeath,57431,High
Wexford,51437,Low
