Year,luas_line,journeys,months_reported,line_complete
2018,Green line,19999699,12,True
2018,Red line,21837267,12,True
2019,Green line,24301487,12,True
2019,Red line,24045744,12,True
2020,Green line,9448868,12,True
2020,Red line,9727189,12,True
2021,Green line,9441025,12,True
2021,Red line,10040293,12,True
2022,Green line,18392801,12,True
2022,Red line,20275074,12,True
2023,Green line,22812053,12,True
2023,Red line,25393164,12,True
2024,Green line,25606901,12,True
2024,Red line,28620699,12,True
2025,Green line,27441334,12,True
2025,Red line,27689678,12,True
