Year,county,private_car_km_million
2018,Carlow,528
2018,Cavan,611
2018,Clare,1070
2018,Cork,4297
2018,Donegal,1166
2018,Dublin,7610
2018,Galway,2071
2018,Kerry,1277
2018,Kildare,1824
2018,Kilkenny,827
2018,Laois,672
2018,Leitrim,283
2018,Limerick,1578
2018,Longford,340
2018,Louth,900
2018,Mayo,1137
2018,Meath,1612
2018,Monaghan,493
2018,Offaly,661
2018,Roscommon,661
2018,Sligo,524
2018,Tipperary,1514
2018,Waterford,984
2018,Westmeath,785
2018,Wexford,1386
2018,Wicklow,1160
2019,Carlow,525
2019,Cavan,616
2019,Clare,1052
2019,Cork,4231
2019,Donegal,1164
2019,Dublin,7368
2019,Galway,2070
2019,Kerry,1259
2019,Kildare,1781
2019,Kilkenny,814
2019,Laois,671
2019,Leitrim,285
2019,Limerick,1549
2019,Longford,336
2019,Louth,887
2019,Mayo,1123
2019,Meath,1612
2019,Monaghan,493
2019,Offaly,656
2019,Roscommon,670
2019,Sligo,516
2019,Tipperary,1497
2019,Waterford,976
2019,Westmeath,780
2019,Wexford,1377
2019,Wicklow,1142
2020,Carlow,386
2020,Cavan,461
2020,Clare,773
2020,Cork,3115
2020,Donegal,869
2020,Dublin,5333
2020,Galway,1537
2020,Kerry,931
2020,Kildare,1326
2020,Kilkenny,608
2020,Laois,500
2020,Leitrim,211
2020,Limerick,1141
2020,Longford,253
2020,Louth,661
2020,Mayo,829
2020,Meath,1205
2020,Monaghan,365
2020,Offaly,486
2020,Roscommon,463
2020,Sligo,387
2020,Tipperary,1114
2020,Waterford,710
2020,Westmeath,579
2020,Wexford,1020
2020,Wicklow,843
2021,Carlow,448
2021,Cavan,545
2021,Clare,900
2021,Cork,3602
2021,Donegal,1017
2021,Dublin,6111
2021,Galway,1784
2021,Kerry,1088
2021,Kildare,1533
2021,Kilkenny,706
2021,Laois,583
2021,Leitrim,249
2021,Limerick,1320
2021,Longford,291
2021,Louth,759
2021,Mayo,974
2021,Meath,1396
2021,Monaghan,427
2021,Offaly,571
2021,Roscommon,536
2021,Sligo,441
2021,Tipperary,1299
2021,Waterford,813
2021,Westmeath,670
2021,Wexford,1191
2021,Wicklow,964
2022,Carlow,517
2022,Cavan,623
2022,Clare,1041
2022,Cork,4149
2022,Donegal,1173
2022,Dublin,7096
2022,Galway,2063
2022,Kerry,1256
2022,Kildare,1804
2022,Kilkenny,818
2022,Laois,679
2022,Leitrim,285
2022,Limerick,1517
2022,Longford,335
2022,Louth,879
2022,Mayo,1117
2022,Meath,1612
2022,Monaghan,493
2022,Offaly,656
2022,Roscommon,651
2022,Sligo,510
2022,Tipperary,1493
2022,Waterford,940
2022,Westmeath,771
2022,Wexford,1379
2022,Wicklow,1100
2023,Carlow,520
2023,Cavan,622
2023,Clare,1046
2023,Cork,4169
2023,Donegal,1189
2023,Dublin,7084
2023,Galway,2082
2023,Kerry,1256
2023,Kildare,1835
2023,Kilkenny,816
2023,Laois,686
2023,Leitrim,288
2023,Limerick,1515
2023,Longford,336
2023,Louth,884
2023,Mayo,1117
2023,Meath,1620
2023,Monaghan,489
2023,Offaly,661
2023,Roscommon,691
2023,Sligo,513
2023,Tipperary,1484
2023,Waterford,956
2023,Westmeath,771
2023,Wexford,1396
2023,Wicklow,1100
