Year,county,fuel_type,car_stock
2018,Carlow,Diesel,17385
2018,Carlow,Other fuel types,331
2018,Carlow,Petrol,10796
2018,Cavan,Diesel,20890
2018,Cavan,Other fuel types,392
2018,Cavan,Petrol,10568
2018,Clare,Diesel,32584
2018,Clare,Other fuel types,786
2018,Clare,Petrol,24057
2018,Cork,Diesel,132295
2018,Cork,Other fuel types,4410
2018,Cork,Petrol,121228
2018,Donegal,Diesel,41125
2018,Donegal,Other fuel types,760
2018,Donegal,Petrol,22398
2018,Dublin,Diesel,225706
2018,Dublin,Other fuel types,17422
2018,Dublin,Petrol,299408
2018,Galway,Diesel,66337
2018,Galway,Other fuel types,2136
2018,Galway,Petrol,45820
2018,Kerry,Diesel,39247
2018,Kerry,Other fuel types,924
2018,Kerry,Petrol,31727
2018,Kildare,Diesel,56834
2018,Kildare,Other fuel types,2161
2018,Kildare,Petrol,44521
2018,Kilkenny,Diesel,26674
2018,Kilkenny,Other fuel types,530
2018,Kilkenny,Petrol,17346
2018,Laois,Diesel,22058
2018,Laois,Other fuel types,430
2018,Laois,Petrol,12391
2018,Leitrim,Diesel,9454
2018,Leitrim,Other fuel types,134
2018,Leitrim,Petrol,4961
2018,Limerick,Diesel,47853
2018,Limerick,Other fuel types,1182
2018,Limerick,Petrol,40146
2018,Longford,Diesel,11270
2018,Longford,Other fuel types,223
2018,Longford,Petrol,5804
2018,Louth,Diesel,29947
2018,Louth,Other fuel types,858
2018,Louth,Petrol,20722
2018,Mayo,Diesel,37994
2018,Mayo,Other fuel types,563
2018,Mayo,Petrol,22404
2018,Meath,Diesel,52424
2018,Meath,Other fuel types,1721
2018,Meath,Petrol,34216
2018,Monaghan,Diesel,17634
2018,Monaghan,Other fuel types,233
2018,Monaghan,Petrol,7850
2018,Offaly,Diesel,21785
2018,Offaly,Other fuel types,448
2018,Offaly,Petrol,12252
2018,Roscommon,Diesel,20248
2018,Roscommon,Other fuel types,347
2018,Roscommon,Petrol,11971
2018,Sligo,Diesel,16993
2018,Sligo,Other fuel types,353
2018,Sligo,Petrol,11761
2018,Tipperary,Diesel,47714
2018,Tipperary,Other fuel types,822
2018,Tipperary,Petrol,30854
2018,Waterford,Diesel,29674
2018,Waterford,Other fuel types,763
2018,Waterford,Petrol,27159
2018,Westmeath,Diesel,26113
2018,Westmeath,Other fuel types,722
2018,Westmeath,Petrol,14417
2018,Wexford,Diesel,44971
2018,Wexford,Other fuel types,979
2018,Wexford,Petrol,29236
2018,Wicklow,Diesel,34195
2018,Wicklow,Other fuel types,1574
2018,Wicklow,Petrol,32847
2019,Carlow,Diesel,18620
2019,Carlow,Other fuel types,468
2019,Carlow,Petrol,10128
2019,Cavan,Diesel,22512
2019,Cavan,Other fuel types,568
2019,Cavan,Petrol,9828
2019,Clare,Diesel,35129
2019,Clare,Other fuel types,1101
2019,Clare,Petrol,22438
2019,Cork,Diesel,141531
2019,Cork,Other fuel types,6407
2019,Cork,Petrol,116134
2019,Donegal,Diesel,44132
2019,Donegal,Other fuel types,1100
2019,Donegal,Petrol,21094
2019,Dublin,Diesel,238681
2019,Dublin,Other fuel types,25433
2019,Dublin,Petrol,288442
2019,Galway,Diesel,71153
2019,Galway,Other fuel types,3089
2019,Galway,Petrol,43049
2019,Kerry,Diesel,42312
2019,Kerry,Other fuel types,1276
2019,Kerry,Petrol,29704
2019,Kildare,Diesel,60965
2019,Kildare,Other fuel types,3178
2019,Kildare,Petrol,42478
2019,Kilkenny,Diesel,28376
2019,Kilkenny,Other fuel types,788
2019,Kilkenny,Petrol,16310
2019,Laois,Diesel,23731
2019,Laois,Other fuel types,619
2019,Laois,Petrol,11536
2019,Leitrim,Diesel,10102
2019,Leitrim,Other fuel types,198
2019,Leitrim,Petrol,4632
2019,Limerick,Diesel,51439
2019,Limerick,Other fuel types,1662
2019,Limerick,Petrol,37681
2019,Longford,Diesel,11998
2019,Longford,Other fuel types,334
2019,Longford,Petrol,5399
2019,Louth,Diesel,32017
2019,Louth,Other fuel types,1264
2019,Louth,Petrol,19861
2019,Mayo,Diesel,40335
2019,Mayo,Other fuel types,843
2019,Mayo,Petrol,20892
2019,Meath,Diesel,56433
2019,Meath,Other fuel types,2514
2019,Meath,Petrol,32606
2019,Monaghan,Diesel,18882
2019,Monaghan,Other fuel types,346
2019,Monaghan,Petrol,7333
2019,Offaly,Diesel,23399
2019,Offaly,Other fuel types,652
2019,Offaly,Petrol,11253
2019,Roscommon,Diesel,21461
2019,Roscommon,Other fuel types,501
2019,Roscommon,Petrol,11794
2019,Sligo,Diesel,17982
2019,Sligo,Other fuel types,523
2019,Sligo,Petrol,11105
2019,Tipperary,Diesel,51363
2019,Tipperary,Other fuel types,1227
2019,Tipperary,Petrol,28656
