Year,county,total_vehicle_km_million
2018,Carlow,711
2018,Cavan,869
2018,Clare,1377
2018,Cork,5593
2018,Donegal,1593
2018,Dublin,10201
2018,Galway,2731
2018,Kerry,1666
2018,Kildare,2331
2018,Kilkenny,1125
2018,Laois,889
2018,Leitrim,386
2018,Limerick,2045
2018,Longford,468
2018,Louth,1162
2018,Mayo,1555
2018,Meath,2107
2018,Monaghan,750
2018,Offaly,876
2018,Roscommon,869
2018,Sligo,703
2018,Tipperary,1972
2018,Waterford,1227
2018,Westmeath,1033
2018,Wexford,1851
2018,Wicklow,1441
2019,Carlow,708
2019,Cavan,872
2019,Clare,1349
2019,Cork,5531
2019,Donegal,1596
2019,Dublin,10040
2019,Galway,2733
2019,Kerry,1642
2019,Kildare,2294
2019,Kilkenny,1108
2019,Laois,887
2019,Leitrim,390
2019,Limerick,2005
2019,Longford,468
2019,Louth,1146
2019,Mayo,1530
2019,Meath,2115
2019,Monaghan,748
2019,Offaly,871
2019,Roscommon,875
2019,Sligo,694
2019,Tipperary,1959
2019,Waterford,1220
2019,Westmeath,1025
2019,Wexford,1834
2019,Wicklow,1422
2020,Carlow,546
2020,Cavan,688
2020,Clare,1033
2020,Cork,4238
2020,Donegal,1252
2020,Dublin,7621
2020,Galway,2113
2020,Kerry,1265
2020,Kildare,1774
2020,Kilkenny,865
2020,Laois,692
2020,Leitrim,301
2020,Limerick,1536
2020,Longford,369
2020,Louth,884
2020,Mayo,1190
2020,Meath,1650
2020,Monaghan,591
2020,Offaly,673
2020,Roscommon,643
2020,Sligo,545
2020,Tipperary,1524
2020,Waterford,920
2020,Westmeath,794
2020,Wexford,1428
2020,Wicklow,1084
2021,Carlow,633
2021,Cavan,802
2021,Clare,1199
2021,Cork,4901
2021,Donegal,1466
2021,Dublin,8738
2021,Galway,2441
2021,Kerry,1465
2021,Kildare,2054
2021,Kilkenny,994
2021,Laois,804
2021,Leitrim,352
2021,Limerick,1772
2021,Longford,428
2021,Louth,1014
2021,Mayo,1386
2021,Meath,1913
2021,Monaghan,692
2021,Offaly,788
2021,Roscommon,743
2021,Sligo,625
2021,Tipperary,1773
2021,Waterford,1049
2021,Westmeath,919
2021,Wexford,1659
2021,Wicklow,1246
2022,Carlow,714
2022,Cavan,899
2022,Clare,1361
2022,Cork,5543
2022,Donegal,1654
2022,Dublin,10067
2022,Galway,2772
2022,Kerry,1670
2022,Kildare,2369
2022,Kilkenny,1126
2022,Laois,912
2022,Leitrim,399
2022,Limerick,1994
2022,Longford,478
2022,Louth,1147
2022,Mayo,1555
2022,Meath,2172
2022,Monaghan,771
2022,Offaly,890
2022,Roscommon,870
2022,Sligo,705
2022,Tipperary,1999
2022,Waterford,1195
2022,Westmeath,1038
2022,Wexford,1884
2022,Wicklow,1403
2023,Carlow,708
2023,Cavan,885
2023,Clare,1337
2023,Cork,5469
2023,Donegal,1631
2023,Dublin,10117
2023,Galway,2765
2023,Kerry,1663
2023,Kildare,2391
2023,Kilkenny,1118
2023,Laois,904
2023,Leitrim,393
2023,Limerick,1967
2023,Longford,466
2023,Louth,1137
2023,Mayo,1516
2023,Meath,2157
2023,Monaghan,754
2023,Offaly,879
2023,Roscommon,889
2023,Sligo,693
2023,Tipperary,1956
2023,Waterford,1200
2023,Westmeath,1022
2023,Wexford,1881
2023,Wicklow,1383
