Year,county,fuel_type,vehicle_km_million
2018,Carlow,Diesel,378
2018,Carlow,Other fuel types,5
2018,Carlow,Petrol,146
2018,Cavan,Diesel,457
2018,Cavan,Other fuel types,6
2018,Cavan,Petrol,150
2018,Clare,Diesel,718
2018,Clare,Other fuel types,11
2018,Clare,Petrol,342
2018,Cork,Diesel,2655
2018,Cork,Other fuel types,59
2018,Cork,Petrol,1584
2018,Donegal,Diesel,845
2018,Donegal,Other fuel types,11
2018,Donegal,Petrol,311
2018,Dublin,Diesel,4087
2018,Dublin,Other fuel types,224
2018,Dublin,Petrol,3300
2018,Galway,Diesel,1419
2018,Galway,Other fuel types,30
2018,Galway,Petrol,621
2018,Kerry,Diesel,824
2018,Kerry,Other fuel types,13
2018,Kerry,Petrol,441
2018,Kildare,Diesel,1188
2018,Kildare,Other fuel types,30
2018,Kildare,Petrol,602
2018,Kilkenny,Diesel,580
2018,Kilkenny,Other fuel types,8
2018,Kilkenny,Petrol,239
2018,Laois,Diesel,492
2018,Laois,Other fuel types,6
2018,Laois,Petrol,175
2018,Leitrim,Diesel,211
2018,Leitrim,Other fuel types,2
2018,Leitrim,Petrol,72
2018,Limerick,Diesel,1023
2018,Limerick,Other fuel types,16
2018,Limerick,Petrol,541
2018,Longford,Diesel,256
2018,Longford,Other fuel types,3
2018,Longford,Petrol,81
2018,Louth,Diesel,617
2018,Louth,Other fuel types,12
2018,Louth,Petrol,273
2018,Mayo,Diesel,815
2018,Mayo,Other fuel types,8
2018,Mayo,Petrol,313
2018,Meath,Diesel,1111
2018,Meath,Other fuel types,24
2018,Meath,Petrol,477
2018,Monaghan,Diesel,381
2018,Monaghan,Other fuel types,3
2018,Monaghan,Petrol,108
2018,Offaly,Diesel,480
2018,Offaly,Other fuel types,6
2018,Offaly,Petrol,173
2018,Roscommon,Diesel,472
2018,Roscommon,Other fuel types,5
2018,Roscommon,Petrol,184
2018,Sligo,Diesel,362
2018,Sligo,Other fuel types,5
2018,Sligo,Petrol,158
2018,Tipperary,Diesel,1063
2018,Tipperary,Other fuel types,11
2018,Tipperary,Petrol,439
2018,Waterford,Diesel,616
2018,Waterford,Other fuel types,11
2018,Waterford,Petrol,357
2018,Westmeath,Diesel,575
2018,Westmeath,Other fuel types,10
2018,Westmeath,Petrol,200
2018,Wexford,Diesel,963
2018,Wexford,Other fuel types,14
2018,Wexford,Petrol,408
2018,Wicklow,Diesel,698
2018,Wicklow,Other fuel types,22
